Year,Month,Name,ProductCount
2013,9,"Road-550-W Yellow, 38",1
2013,8,Road Bottle Cage,2
2014,4,"Long-Sleeve Logo Jersey, M",2
2014,2,Mountain Bottle Cage,2
2014,5,LL Mountain Tire,2
2011,12,"HL Mountain Frame - Silver, 46",2
2014,2,"Short-Sleeve Classic Jersey, XL",2
2014,5,"HL Touring Frame - Yellow, 54",23
2013,11,"Sport-100 Helmet, Black",11
2014,3,"Road-550-W Yellow, 48",1
2013,9,"Short-Sleeve Classic Jersey, M",2
2013,8,Mountain Bottle Cage,3
2013,11,LL Mountain Tire,3
2014,3,"Mountain-200 Silver, 46",3
2014,3,"Road-550-W Yellow, 38",1
2013,10,"Women's Mountain Shorts, L",1
2013,10,"Racing Socks, M",1
2013,6,Bike Wash - Dissolver,1
2014,2,"Mountain-400-W Silver, 46",2
2014,3,"Road-350-W Yellow, 44",2
2014,2,"Sport-100 Helmet, Red",6
2014,5,"Road-350-W Yellow, 42",1
2013,10,"LL Mountain Frame - Silver, 42",24
2013,12,"Road-350-W Yellow, 48",1
2013,8,"Long-Sleeve Logo Jersey, S",1
2012,7,"Mountain-200 Black, 42",29
2014,4,ML Road Tire,2
2013,12,"Sport-100 Helmet, Blue",4
2013,12,"Short-Sleeve Classic Jersey, S",1
2014,1,Mountain Tire Tube,7
2014,1,"Touring-3000 Yellow, 62",2
2013,12,Fender Set - Mountain,8
2014,3,Touring Tire Tube,5
2013,3,"Road-550-W Yellow, 48",1
2014,1,Touring Tire,1
2012,9,"Road-650 Red, 58",1
2014,5,Hitch Rack - 4-Bike,1
2012,9,"Women's Tights, L",49
2013,4,"LL Road Frame - Red, 60",16
2014,3,"Mountain-500 Silver, 52",1
2013,9,AWC Logo Cap,6
2013,10,"Women's Mountain Shorts, L",27
2013,11,Water Bottle - 30 oz.,16
2014,1,Patch Kit/8 Patches,9
2014,4,"Mountain-200 Silver, 46",1
2014,1,"Touring-1000 Yellow, 50",1
2014,4,"Touring-3000 Blue, 44",1
2013,12,"Road-750 Black, 52",3
2012,5,"Road-650 Black, 62",9
2013,8,"Road-250 Black, 44",2
2014,5,"Sport-100 Helmet, Black",4
2012,6,"Full-Finger Gloves, L",40
2013,5,"Touring-3000 Yellow, 54",9
2013,10,ML Road Tire,5
2012,11,"Mountain-200 Black, 46",2
2013,6,"Road-250 Red, 58",3
2013,12,"Road-250 Black, 52",2
2013,12,"Touring-1000 Yellow, 46",1
2014,2,"Short-Sleeve Classic Jersey, XL",1
2014,4,"Touring-1000 Yellow, 54",1
2014,6,"Sport-100 Helmet, Blue",8
2013,12,"Half-Finger Gloves, M",1
2014,2,LL Road Tire,3
2013,10,"Long-Sleeve Logo Jersey, M",1
2014,4,"Road-750 Black, 58",2
2014,4,"Road-750 Black, 48",1
2014,2,"Sport-100 Helmet, Red",6
2013,8,Touring Tire,3
2013,12,Mountain Tire Tube,8
2013,3,"Road-650 Red, 58",1
2013,11,Hitch Rack - 4-Bike,2
2013,12,"Touring-2000 Blue, 54",2
2013,4,"Road-550-W Yellow, 44",2
2012,12,"Mountain-200 Black, 42",2
2014,5,"Touring-2000 Blue, 50",1
2012,8,ML Headset,5
2014,6,Fender Set - Mountain,3
2013,8,"Sport-100 Helmet, Red",5
2013,5,"Road-250 Red, 58",1
2014,4,"Touring-1000 Blue, 46",1
2011,5,"Mountain-100 Black, 38",7
2014,4,"Short-Sleeve Classic Jersey, L",1
2014,5,"Touring-1000 Blue, 50",21
2013,10,"Racing Socks, M",2
2011,5,"Sport-100 Helmet, Black",13
2014,4,"Mountain-200 Black, 46",3
2013,1,"Road-250 Black, 48",1
2014,4,Touring Tire Tube,6
2013,12,"Touring-1000 Blue, 60",1
2013,12,"Mountain-400-W Silver, 38",3
2012,7,"ML Road Frame-W - Yellow, 48",15
2012,6,"Road-250 Black, 58",1
2014,4,"Touring-3000 Blue, 62",1
2013,11,Hydration Pack - 70 oz.,3
2013,7,HL Bottom Bracket,31
2013,10,"Mountain-200 Silver, 38",1
2014,5,Water Bottle - 30 oz.,12
2013,10,"Half-Finger Gloves, S",2
2014,2,"Long-Sleeve Logo Jersey, L",1
2013,8,Patch Kit/8 Patches,7
2014,3,"Road-350-W Yellow, 40",1
2012,2,"Long-Sleeve Logo Jersey, L",17
2014,5,HL Mountain Tire,8
2014,1,HL Road Tire,3
2012,7,"Mountain-200 Black, 38",1
2014,5,"Women's Mountain Shorts, S",2
2014,3,"Long-Sleeve Logo Jersey, S",3
2012,7,"Men's Sports Shorts, S",15
2014,3,AWC Logo Cap,10
2013,7,"Road-550-W Yellow, 40",1
2013,10,"Road-550-W Yellow, 44",1
2014,4,"Racing Socks, M",1
2014,1,LL Road Tire,4
2014,3,"LL Road Frame - Black, 44",1
2011,6,"Road-650 Red, 44",1
2014,6,Mountain Tire Tube,4
2012,3,"Mountain-100 Black, 48",1
2013,10,"Touring-1000 Blue, 46",1
2013,3,"HL Mountain Frame - Silver, 38",21
2014,3,Road Bottle Cage,11
2014,3,"Road-250 Black, 44",1
2014,3,"HL Mountain Frame - Black, 38",10
2013,8,ML Mountain Tire,6
2014,4,Road Tire Tube,11
2014,1,"Touring-3000 Yellow, 44",1
2013,10,"Mountain-200 Black, 46",1
2013,11,Bike Wash - Dissolver,4
2013,6,"Mountain-200 Black, 42",2
2013,8,Road Tire Tube,4
2013,8,"Road-250 Black, 58",1
2013,5,"Road-550-W Yellow, 44",1
2013,6,HL Road Tire,1
2013,11,"Sport-100 Helmet, Black",9
2013,8,"Mountain-200 Silver, 38",2
2013,2,"Road-250 Red, 44",2
2014,6,"Classic Vest, M",2
2014,2,"Short-Sleeve Classic Jersey, S",3
2014,3,"Half-Finger Gloves, S",1
2013,11,"Half-Finger Gloves, L",1
2013,2,"Mountain-200 Black, 38",1
2014,2,"Road-750 Black, 58",1
2014,2,"Sport-100 Helmet, Red",8
2012,6,"HL Mountain Frame - Silver, 38",22
2012,5,"Road-150 Red, 48",1
2013,2,"Road-650 Black, 62",1
2014,4,"Mountain-500 Silver, 48",1
2013,8,Bike Wash - Dissolver,4
2014,4,"Touring-2000 Blue, 46",1
2014,5,LL Road Tire,3
2013,3,"Mountain-200 Silver, 42",1
2013,11,"Road-550-W Yellow, 42",2
2014,4,"Long-Sleeve Logo Jersey, M",3
2014,3,"Road-550-W Yellow, 40",3
2013,10,"Touring-3000 Yellow, 58",16
2013,4,"Road-650 Red, 52",1
2013,10,Water Bottle - 30 oz.,10
2013,7,"Half-Finger Gloves, M",1
2014,5,"Half-Finger Gloves, L",2
2011,12,"Road-650 Black, 60",12
2013,12,Patch Kit/8 Patches,8
2013,11,"Road-350-W Yellow, 48",2
2014,2,Bike Wash - Dissolver,5
2013,6,"Road-250 Black, 44",1
2014,3,"Road-250 Black, 48",1
2014,1,"Touring-1000 Yellow, 50",1
2014,4,"Road-350-W Yellow, 40",1
2013,12,"Sport-100 Helmet, Black",7
2014,4,"Long-Sleeve Logo Jersey, L",1
2013,10,"Short-Sleeve Classic Jersey, L",1
2014,6,Road Bottle Cage,1
2013,11,LL Mountain Tire,3
2013,8,"Mountain-200 Silver, 46",1
2013,8,ML Road Tire,4
2014,2,"Road-750 Black, 48",2
2014,4,"Touring-1000 Blue, 60",1
2013,11,ML Mountain Tire,5
2013,7,"Racing Socks, L",2
2014,5,"Long-Sleeve Logo Jersey, S",1
2014,3,"Road-750 Black, 44",1
2013,9,"Long-Sleeve Logo Jersey, M",1
2013,8,Fender Set - Mountain,6
2014,3,HL Mountain Tire,6
2012,5,"Mountain-100 Black, 48",1
2013,10,"Racing Socks, M",1
2014,1,"Mountain-400-W Silver, 46",1
2012,3,"Road-150 Red, 44",1
2011,8,"Road-650 Black, 62",8
2014,3,"Short-Sleeve Classic Jersey, L",1
2011,9,"Road-650 Black, 58",1
2012,12,"Road-250 Red, 48",4
2013,7,Hydration Pack - 70 oz.,2
2013,4,"Road-650 Black, 58",1
2012,9,"Mountain-200 Black, 46",1
2014,3,"Road-550-W Yellow, 48",30
2014,1,"Half-Finger Gloves, M",1
2013,12,"Short-Sleeve Classic Jersey, XL",1
2013,11,HL Road Tire,2
2013,12,AWC Logo Cap,6
2013,2,"Mountain-200 Silver, 46",1
2014,4,LL Road Tire,5
2012,3,"Long-Sleeve Logo Jersey, XL",27
2014,3,"Road-650 Red, 62",1
2014,5,"Road-250 Black, 52",1
2013,6,"Classic Vest, M",1
2013,9,Mountain Tire Tube,10
2011,11,"Road-150 Red, 48",1
2014,1,Touring Tire Tube,4
2012,3,"Road-150 Red, 56",1
2013,12,"Mountain-200 Black, 42",2
2014,3,"Mountain-200 Black, 46",1
2014,5,HL Road Tire,6
2013,12,"Mountain-500 Black, 40",1
2014,6,"Sport-100 Helmet, Black",3
2012,8,"Road-250 Red, 44",1
2013,12,Road Bottle Cage,4
2014,5,"Touring-2000 Blue, 46",20
2011,6,"Road-150 Red, 48",2
2014,2,"Mountain-200 Black, 38",1
2014,4,Hitch Rack - 4-Bike,4
2013,7,"Sport-100 Helmet, Red",2
2012,4,"Road-650 Black, 44",1
2014,3,Mountain Bottle Cage,7
2014,3,"Long-Sleeve Logo Jersey, M",2
2014,5,"Road-550-W Yellow, 42",2
2012,6,"Mountain-200 Black, 42",32
2011,10,"Road-150 Red, 62",13
2011,9,"Road-150 Red, 56",1
2014,4,Water Bottle - 30 oz.,8
2011,10,"HL Mountain Frame - Silver, 46",9
2013,11,Patch Kit/8 Patches,4
2011,12,"Mountain-100 Black, 48",7
2014,4,"Racing Socks, M",2
2013,9,Fender Set - Mountain,6
2013,6,AWC Logo Cap,4
2014,3,"Mountain-200 Silver, 42",1
2014,6,"Short-Sleeve Classic Jersey, XL",1
2014,3,"Long-Sleeve Logo Jersey, L",3
2013,1,"Mountain-200 Silver, 38",1
2013,8,"Mountain-400-W Silver, 38",1
2013,10,"Road-550-W Yellow, 48",1
2011,11,"Mountain-100 Silver, 38",2
2013,11,"Mountain-400-W Silver, 42",1
2013,10,"Half-Finger Gloves, S",2
2013,10,LL Road Tire,2
2014,6,AWC Logo Cap,4
2013,8,"Mountain-500 Black, 48",12
2012,9,ML Headset,12
2012,5,"Full-Finger Gloves, L",20
2013,8,"Short-Sleeve Classic Jersey, S",1
2013,9,"Short-Sleeve Classic Jersey, M",2
2012,6,"LL Road Frame - Red, 62",24
2012,5,"Mountain-200 Black, 42",18
2014,3,"Mountain-200 Black, 46",1
2013,11,"Classic Vest, S",31
2014,4,HL Road Tire,5
2013,12,"Mountain-200 Black, 42",1
2013,8,"Sport-100 Helmet, Red",7
2014,6,"Racing Socks, L",1
2013,8,Fender Set - Mountain,5
2013,10,Hitch Rack - 4-Bike,2
2014,1,"Mountain-400-W Silver, 46",1
2013,8,"Women's Mountain Shorts, S",3
2014,3,"Road-750 Black, 44",3
2014,5,"Mountain-200 Black, 42",1
2013,12,Road Bottle Cage,4
2014,3,"Mountain-200 Silver, 38",2
2012,9,"Full-Finger Gloves, M",38
2014,3,"Mountain-400-W Silver, 40",2
2014,5,HL Road Tire,4
2012,8,"Road-650 Red, 58",1
2014,1,"Racing Socks, L",1
2013,8,Mountain Tire Tube,13
2014,2,ML Road Tire,2
2013,12,"Sport-100 Helmet, Blue",7
2012,3,"Road-150 Red, 62",1
2014,6,"Long-Sleeve Logo Jersey, S",1
2014,3,"Mountain-200 Silver, 42",1
2013,11,"Half-Finger Gloves, L",2
2013,1,"Mountain-200 Silver, 38",1
2013,9,HL Mountain Tire,4
2014,2,Fender Set - Mountain,3
2013,7,Hydration Pack - 70 oz.,2
2013,10,"Touring-1000 Blue, 46",1
2012,3,"Road-150 Red, 44",1
2013,9,Mountain Bottle Cage,5
2013,7,"HL Touring Frame - Blue, 54",28
2013,9,"Mountain-200 Black, 46",1
2014,1,Road Tire Tube,7
2013,6,HL Road Handlebars,22
2013,7,"Racing Socks, L",1
2014,3,Mountain Tire Tube,10
2013,6,"Sport-100 Helmet, Black",2
2012,5,"Road-150 Red, 48",2
2012,4,"Road-150 Red, 52",3
2013,5,"Road-250 Red, 48",1
2013,10,"Touring-2000 Blue, 46",1
2013,7,"Touring-3000 Blue, 50",1
2013,11,"Half-Finger Gloves, S",1
2014,4,Water Bottle - 30 oz.,16
2013,10,"Short-Sleeve Classic Jersey, L",1
2013,7,ML Road Tire,3
2013,6,"Mountain-500 Silver, 42",1
2014,4,"Road-350-W Yellow, 44",2
2013,12,"Touring-3000 Blue, 50",20
2014,2,"Women's Mountain Shorts, S",2
2013,6,Road Bottle Cage,3
2013,10,"Road-550-W Yellow, 42",1
2013,8,"Women's Mountain Shorts, M",3
2014,5,ML Mountain Tire,1
2014,1,Touring Tire,1
2013,12,"Classic Vest, L",1
2012,11,"Road-550-W Yellow, 44",1
2013,1,"Men's Bib-Shorts, M",20
2014,5,"Half-Finger Gloves, L",4
2014,5,LL Mountain Tire,2
2013,11,ML Mountain Tire,2
2014,3,"Touring-3000 Yellow, 58",1
2014,5,"Sport-100 Helmet, Blue",2
2012,8,"Road-650 Red, 48",1
2012,6,"Road-250 Black, 52",2
2012,9,"Long-Sleeve Logo Jersey, M",32
2014,4,"Half-Finger Gloves, S",1
2014,5,Patch Kit/8 Patches,7
2013,9,"Touring-1000 Yellow, 54",1
2013,8,"Road-750 Black, 58",1
2013,5,HL Road Pedal,21
2013,4,"Road-550-W Yellow, 48",1
2013,7,"Half-Finger Gloves, M",3
2013,7,Touring Tire Tube,2
2012,5,"Road-150 Red, 52",1
2011,12,"Mountain-100 Silver, 42",1
2013,9,"Mountain-200 Silver, 38",2
2013,10,HL Mountain Seat/Saddle,24
2013,3,"Road-550-W Yellow, 38",26
2013,12,"Sport-100 Helmet, Black",8
2012,4,"Road-150 Red, 62",2
2011,10,"Road-650 Red, 52",19
2013,4,"Mountain-200 Black, 46",2
2013,10,Water Bottle - 30 oz.,6
2013,8,ML Road Tire,6
2013,7,"Road-250 Black, 44",1
2013,11,"Racing Socks, M",1
2013,10,LL Mountain Tire,4
2013,12,"Road-750 Black, 52",31
2013,10,"HL Touring Frame - Yellow, 46",3
2014,4,LL Road Tire,4
2014,4,"Long-Sleeve Logo Jersey, S",1
2013,9,"LL Road Frame - Black, 44",3
2013,7,Bike Wash - Dissolver,4
2014,1,Fender Set - Mountain,5
2013,12,Hydration Pack - 70 oz.,1
2012,3,"Road-150 Red, 62",2
2013,11,"Touring-1000 Blue, 46",1
2012,1,"Sport-100 Helmet, Red",12
2012,4,"Road-650 Red, 62",1
2014,6,Patch Kit/8 Patches,10
2013,7,Road Tire Tube,6
2014,1,Touring Tire,6
2013,12,AWC Logo Cap,5
2013,8,"Half-Finger Gloves, M",1
2013,9,Water Bottle - 30 oz.,13
2014,2,"Mountain-500 Black, 42",1
2014,4,Hitch Rack - 4-Bike,2
2013,10,"Sport-100 Helmet, Blue",6
2014,5,"Mountain-200 Black, 42",2
2014,5,ML Mountain Tire,1
2014,4,"Classic Vest, S",3
2012,4,"Road-150 Red, 52",2
2014,3,"Mountain-200 Silver, 46",13
2013,12,HL Road Tire,4
2014,1,"Sport-100 Helmet, Red",1
2014,5,"Touring-1000 Yellow, 46",1
2014,4,"Mountain-400-W Silver, 42",1
2013,7,"Sport-100 Helmet, Red",6
2013,6,AWC Logo Cap,1
2013,1,"Road-250 Black, 58",2
2013,11,"Road-550-W Yellow, 38",1
2012,6,"Road-250 Red, 48",3
2014,3,"Long-Sleeve Logo Jersey, L",3
2012,3,"Road-650 Red, 62",2
2014,6,"Racing Socks, L",1
2012,7,"Road-250 Black, 44",1
2013,10,"Classic Vest, S",1
2013,9,"Women's Mountain Shorts, L",3
2014,6,"Sport-100 Helmet, Black",3
2014,6,HL Road Tire,1
2014,5,"Touring-1000 Yellow, 46",1
2013,1,"Road-650 Red, 58",1
2012,4,"Road-650 Black, 44",12
2014,1,"Classic Vest, L",2
2013,12,ML Mountain Tire,7
2012,5,"HL Mountain Frame - Silver, 38",13
2013,10,"Short-Sleeve Classic Jersey, M",1
2014,3,"Women's Mountain Shorts, M",1
2013,7,"Mountain-500 Silver, 44",22
2013,10,"Road-250 Black, 52",18
2013,5,"Touring-1000 Blue, 46",13
2013,7,Touring Tire,1
2012,11,"Road-650 Black, 60",1
2013,3,"Road-250 Red, 44",2
2014,2,"Half-Finger Gloves, M",3
2013,10,Hitch Rack - 4-Bike,2
2013,9,"Road-750 Black, 58",1
2013,9,"Road-750 Black, 48",35
2014,4,"Long-Sleeve Logo Jersey, XL",3
2014,1,AWC Logo Cap,7
2013,6,"Mountain-200 Black, 42",1
2014,2,"Mountain-200 Black, 46",3
2014,6,"Women's Mountain Shorts, S",1
2014,2,Touring Tire Tube,4
2014,4,"Sport-100 Helmet, Blue",4
2012,9,"Mountain-200 Black, 38",2
2013,7,"Classic Vest, M",1
2013,8,"Mountain-500 Black, 42",1
2013,7,"Classic Vest, L",1
2013,5,"LL Mountain Frame - Black, 44",15
2014,5,"Road-550-W Yellow, 44",2
2014,4,"Road-350-W Yellow, 48",3
2013,4,"Mountain-200 Silver, 42",1
2013,6,"Touring-1000 Yellow, 50",1
2013,6,"Touring-3000 Blue, 58",1
2013,8,Bike Wash - Dissolver,2
2013,11,"Touring-3000 Yellow, 50",1
2014,4,"Road-550-W Yellow, 42",1
2013,11,"Road-550-W Yellow, 44",1
2014,3,Water Bottle - 30 oz.,38
2013,12,Patch Kit/8 Patches,8
2014,2,Bike Wash - Dissolver,1
2011,10,"Mountain-100 Black, 48",15
2014,4,"Road-350-W Yellow, 40",1
2013,12,"Racing Socks, L",1
2012,12,"ML Mountain Frame - Black, 38",24
2013,8,ML Road Tire,2
2014,1,"Mountain-500 Black, 40",1
2014,2,"Short-Sleeve Classic Jersey, L",1
2014,1,Road Bottle Cage,4
2014,6,Road Tire Tube,3
2013,3,"Mountain-200 Silver, 46",2
2013,8,"Mountain-200 Black, 46",2
2014,1,"Road-250 Black, 58",9
2013,12,"Touring-1000 Blue, 50",15
2014,3,LL Bottom Bracket,10
2012,11,"Road-550-W Yellow, 38",2
2012,7,"Road-250 Black, 58",2
2013,10,LL Road Tire,1
2014,6,HL Road Tire,1
2014,3,"Mountain-400-W Silver, 40",1
2014,2,"Road-750 Black, 48",1
2013,12,Road Tire Tube,7
2012,8,"Mountain-200 Black, 38",1
2013,11,"Mountain-200 Black, 42",2
2013,9,"Mountain-200 Black, 46",1
2013,8,"Women's Mountain Shorts, M",2
2013,7,"Road-750 Black, 52",2
2013,12,"Classic Vest, M",1
2013,6,"Sport-100 Helmet, Black",2
2013,9,"Long-Sleeve Logo Jersey, L",1
2012,9,"Road-250 Red, 44",1
2012,7,"Road-250 Black, 44",1
2013,2,"Road-650 Red, 44",1
2013,3,"Road-250 Red, 52",1
2014,3,"Road-550-W Yellow, 42",20
2013,12,ML Mountain Tire,4
2013,11,"Long-Sleeve Logo Jersey, S",3
2013,10,"Long-Sleeve Logo Jersey, XL",1
2014,1,Bike Wash - Dissolver,3
2012,9,"Road-550-W Yellow, 42",1
2014,3,"LL Mountain Frame - Silver, 42",21
2014,5,"Road-350-W Yellow, 48",1
2012,7,"LL Road Frame - Red, 62",14
2012,11,"Road-250 Black, 52",2
2011,8,"Road-150 Red, 44",2
2014,4,Mountain Bottle Cage,5
2014,3,HL Mountain Tire,2
2014,6,Touring Tire,3
2014,2,"Touring-1000 Yellow, 54",3
2014,5,"Half-Finger Gloves, S",4
2013,12,"Half-Finger Gloves, L",1
2013,5,"Touring-3000 Yellow, 44",15
2014,4,"Mountain-200 Silver, 42",1
2014,5,"Road-550-W Yellow, 48",23
2014,6,Bike Wash - Dissolver,1
2013,5,"Road-650 Black, 58",1
2014,3,"Touring-3000 Yellow, 62",11
2013,9,"Mountain-200 Black, 38",1
2011,9,"Road-150 Red, 56",2
2014,4,LL Mountain Tire,3
2013,10,LL Mountain Pedal,18
2012,1,"Road-150 Red, 44",2
2011,6,"Road-150 Red, 48",1
2014,3,"Short-Sleeve Classic Jersey, S",1
2014,4,"Short-Sleeve Classic Jersey, M",1
2013,2,"Road-550-W Yellow, 40",15
2013,6,Patch Kit/8 Patches,2
2013,8,"Road-750 Black, 48",26
2014,3,Water Bottle - 30 oz.,18
2012,8,"Road-250 Black, 48",1
2013,11,"Road-350-W Yellow, 44",1
2014,1,Road Bottle Cage,1
2013,12,"Sport-100 Helmet, Black",10
2013,3,"Mountain-200 Silver, 46",2
2011,8,"Mountain Bike Socks, M",8
2014,3,LL Road Tire,2
2014,2,"Long-Sleeve Logo Jersey, M",1
2013,11,"Sport-100 Helmet, Blue",9
2013,10,"Road-550-W Yellow, 48",1
2014,3,"HL Mountain Frame - Silver, 42",7
2012,1,"Road-650 Red, 60",24
2014,1,"Road-250 Black, 48",1
2013,10,"Mountain-400-W Silver, 42",1
2014,6,"Sport-100 Helmet, Red",3
2013,6,HL Road Tire,1
2012,9,"Road-650 Red, 62",1
2013,11,"Touring-2000 Blue, 50",1
2013,7,AWC Logo Cap,4
2014,4,"Mountain-200 Black, 42",1
2014,2,"Road-750 Black, 58",1
2014,3,"Road-750 Black, 44",1
2014,6,Patch Kit/8 Patches,5
2014,2,Mountain Tire Tube,4
2014,3,"Road-750 Black, 48",3
2013,8,"Touring-3000 Blue, 50",14
2013,7,Road Tire Tube,2
2013,8,"Half-Finger Gloves, M",2
2014,4,Hitch Rack - 4-Bike,1
2013,8,Touring Tire Tube,1
2013,8,Fender Set - Mountain,6
2012,3,"Mountain-100 Black, 42",1
2013,8,Mountain Tire Tube,7
2013,9,"Long-Sleeve Logo Jersey, XL",1
2013,7,Road Bottle Cage,4
2012,11,"Mountain-200 Black, 42",1
2012,10,"Road-550-W Yellow, 42",1
2014,2,ML Road Tire,3
2013,1,"Road-250 Black, 58",1
2013,7,"Women's Mountain Shorts, S",4
2011,8,AWC Logo Cap,24
2014,4,"Touring-1000 Yellow, 46",2
2013,12,"Mountain-400-W Silver, 46",1
2013,10,"Classic Vest, S",49
2014,4,"Sport-100 Helmet, Blue",13
2013,4,"Road-650 Black, 58",1
2014,2,"Short-Sleeve Classic Jersey, S",2
2014,2,Touring Tire Tube,6
2012,8,"Long-Sleeve Logo Jersey, M",20
2014,4,LL Mountain Tire,2
2013,10,"Road-350-W Yellow, 40",2
2013,3,"Road-650 Black, 48",1
2013,9,"Short-Sleeve Classic Jersey, L",1
2014,2,"Women's Mountain Shorts, M",1
2014,1,"Short-Sleeve Classic Jersey, XL",1
2012,4,"HL Mountain Frame - Black, 48",10
2014,6,"Classic Vest, M",2
2014,3,"LL Road Frame - Black, 52",21
2012,7,"Road-650 Red, 60",1
2014,3,"Women's Mountain Shorts, L",2
2013,9,Mountain Bottle Cage,4
2013,10,"Mountain-200 Black, 38",1
2014,3,Hitch Rack - 4-Bike,1
2013,10,"Touring-1000 Yellow, 46",34
2013,12,ML Road Tire,4
2013,11,"Road-350-W Yellow, 44",1
2013,8,"Women's Mountain Shorts, S",2
2014,4,"Mountain-200 Black, 42",1
2014,2,"Half-Finger Gloves, M",2
2013,10,"Short-Sleeve Classic Jersey, XL",1
2012,5,"Road-250 Black, 44",14
2013,10,Road Bottle Cage,9
2014,5,"Road-250 Black, 44",1
2013,12,"Women's Mountain Shorts, L",1
2014,4,HL Road Tire,4
2013,6,"Road-750 Black, 58",1
2011,11,"Road-150 Red, 56",1
2013,7,"Road-750 Black, 48",2
2014,1,"Mountain-200 Silver, 42",1
2012,2,"Road-150 Red, 62",1
2013,10,"Mountain-500 Black, 40",1
2013,8,"Long-Sleeve Logo Jersey, M",1
2014,1,"Mountain-400-W Silver, 40",1
2013,11,"Road-550-W Yellow, 48",1
2013,8,"Mountain-200 Black, 46",2
2013,8,"Mountain-200 Silver, 42",1
2013,12,"Mountain-400-W Silver, 46",1
2014,6,"Long-Sleeve Logo Jersey, S",1
2013,10,Mountain Bottle Cage,6
2014,3,"Mountain-400-W Silver, 38",2
2013,6,"Mountain-500 Silver, 48",1
2013,10,"HL Mountain Frame - Black, 42",22
2013,6,Touring Tire,1
2013,9,"Sport-100 Helmet, Blue",5
2013,9,"Road-250 Black, 52",2
2014,6,"Racing Socks, M",1
2013,10,Fender Set - Mountain,8
2014,5,Touring Tire Tube,5
2013,12,LL Road Tire,3
2014,5,"Racing Socks, L",1
2013,11,Mountain Tire Tube,11
2012,4,AWC Logo Cap,34
2013,9,"Short-Sleeve Classic Jersey, S",1
2014,6,ML Road Tire,3
2013,11,AWC Logo Cap,12
2012,5,"Road-550-W Yellow, 38",15
2012,5,LL Road Handlebars,7
2014,2,HL Mountain Tire,3
2013,9,"Mountain-200 Black, 38",1
2013,11,"Half-Finger Gloves, S",1
2013,7,"Half-Finger Gloves, L",2
2012,10,"Road-650 Red, 44",1
2014,4,Patch Kit/8 Patches,11
2013,11,"Racing Socks, L",1
2014,3,LL Mountain Tire,5
2013,9,"Women's Mountain Shorts, S",1
2012,2,"Road-450 Red, 60",9
2012,11,"Road-250 Black, 48",2
2014,3,ML Mountain Tire,4
2013,6,"Long-Sleeve Logo Jersey, S",1
2013,12,"Mountain-200 Silver, 38",1
2013,12,Touring Tire,4
2013,12,"Mountain-200 Silver, 46",1
2013,5,"Road-550-W Yellow, 48",1
2013,10,"Mountain-500 Silver, 44",1
2014,1,All-Purpose Bike Stand,2
2012,11,"Road-650 Black, 44",1
2012,3,"Mountain-100 Black, 38",1
2013,8,"Short-Sleeve Classic Jersey, L",2
2014,5,"Road-350-W Yellow, 44",1
2014,3,Road Tire Tube,8
2014,6,"Sport-100 Helmet, Red",1
2014,3,"Sport-100 Helmet, Blue",9
2012,11,"Mountain-200 Black, 42",2
2013,8,Water Bottle - 30 oz.,7
2014,4,Fender Set - Mountain,5
2014,4,AWC Logo Cap,6
2012,6,"LL Road Frame - Black, 60",8
2013,5,LL Mountain Handlebars,14
2012,11,"ML Mountain Frame - Black, 38",11
2014,3,"Road-350-W Yellow, 48",1
2014,1,"Road-750 Black, 48",1
2014,3,"Touring-1000 Blue, 60",1
2014,4,"Road-250 Red, 58",1
2014,5,"Road-750 Black, 44",1
2014,4,Mountain Tire Tube,11
2013,5,"Mountain-200 Black, 42",1
2014,3,"Classic Vest, S",1
2013,12,"Half-Finger Gloves, L",2
2013,9,Road Tire Tube,5
2013,8,"Short-Sleeve Classic Jersey, L",2
2013,8,HL Mountain Tire,3
2012,4,"Road-150 Red, 48",1
2013,9,"Women's Mountain Shorts, M",2
2014,3,"Road-750 Black, 52",2
2012,7,"HL Mountain Frame - Black, 38",12
2012,12,"Road-550-W Yellow, 44",1
2013,7,"Women's Mountain Shorts, L",1
2013,7,All-Purpose Bike Stand,2
2013,9,Bike Wash - Dissolver,1
2013,7,"Sport-100 Helmet, Black",6
2013,12,Touring Tire,1
2013,7,"Long-Sleeve Logo Jersey, S",2
2013,7,"Touring-1000 Yellow, 54",1
2014,2,"Touring-2000 Blue, 50",1
2014,4,"Road-550-W Yellow, 40",2
2014,4,"Touring-3000 Yellow, 62",1
2013,6,"Touring-1000 Blue, 46",1
2014,2,"Touring-2000 Blue, 54",1
2013,7,"Mountain-200 Silver, 38",21
2014,5,Touring Tire,2
2013,7,"Mountain-400-W Silver, 40",17
2014,1,"Sport-100 Helmet, Black",12
2013,6,"Touring-2000 Blue, 50",1
2013,10,Patch Kit/8 Patches,15
2014,4,"Touring-2000 Blue, 60",1
2014,5,"Road-350-W Yellow, 40",1
2013,8,"Mountain-200 Silver, 42",4
2012,6,"Mountain-200 Silver, 38",1
2014,5,"Short-Sleeve Classic Jersey, M",1
2014,2,"Touring-1000 Blue, 60",1
2013,9,"Mountain-400-W Silver, 38",7
2014,6,"Half-Finger Gloves, S",1
2013,9,"Classic Vest, L",1
2013,12,Touring Tire Tube,3
2013,6,ML Road Tire,2
2014,1,"Mountain-500 Silver, 40",1
2013,12,"Road-750 Black, 58",2
